time,volume,complete,mid_open,mid_high,mid_low,mid_close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,local_time,session_date,clock,atr,body,range,body_fraction,median_body,opening_range_high,opening_range_low,opening_range_candles
2026-06-26 18:20:00+00:00,154,True,1.13888,1.13894,1.1388,1.13882,1.13881,1.13885,1.13871,1.13873,1.13896,1.13902,1.13888,1.1389,2026-06-26 14:20:00-04:00,2026-06-26,14:20:00,0.00026642857142855636,5.999999999994898e-05,0.000140000000000029,0.4285714285709754,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 18:25:00+00:00,198,True,1.13882,1.13898,1.1388,1.13896,1.13874,1.1389,1.13872,1.13888,1.1389,1.13907,1.13888,1.13903,2026-06-26 14:25:00-04:00,2026-06-26,14:25:00,0.00026571428571428183,0.000140000000000029,0.000180000000000069,0.7777777777776407,0.00010499999999991072,1.14248,1.14198,3.0
2026-06-26 18:30:00+00:00,142,True,1.13896,1.13911,1.13896,1.13909,1.13888,1.13904,1.13888,1.13901,1.13904,1.13918,1.13903,1.13917,2026-06-26 14:30:00-04:00,2026-06-26,14:30:00,0.0002650000000000073,0.00012999999999996348,0.0001500000000000945,0.8666666666658772,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 18:35:00+00:00,185,True,1.13908,1.13912,1.13897,1.13903,1.139,1.13904,1.13889,1.13894,1.13917,1.13921,1.13905,1.13912,2026-06-26 14:35:00-04:00,2026-06-26,14:35:00,0.0002599999999999904,5.0000000000105516e-05,0.00014999999999987246,0.3333333333343202,0.00011499999999997623,1.14248,1.14198,3.0
2026-06-26 18:40:00+00:00,171,True,1.13903,1.13905,1.13888,1.13898,1.13895,1.13897,1.1388,1.1389,1.13911,1.13913,1.13897,1.13906,2026-06-26 14:40:00-04:00,2026-06-26,14:40:00,0.0002392857142857117,4.999999999988347e-05,0.00017000000000000348,0.29411764705813204,0.00011499999999997623,1.14248,1.14198,3.0
2026-06-26 18:45:00+00:00,280,True,1.13896,1.13896,1.13866,1.13884,1.13889,1.13889,1.13857,1.13876,1.13904,1.13904,1.13874,1.13892,2026-06-26 14:45:00-04:00,2026-06-26,14:45:00,0.00024642857142856807,0.00011999999999989797,0.00029999999999996696,0.3999999999997039,0.00011499999999986521,1.14248,1.14198,3.0
2026-06-26 18:50:00+00:00,218,True,1.13884,1.13898,1.13882,1.13888,1.13876,1.1389,1.13874,1.1388,1.13893,1.13907,1.1389,1.13897,2026-06-26 14:50:00-04:00,2026-06-26,14:50:00,0.00022499999999999902,3.999999999981796e-05,0.00016000000000016001,0.24999999999861222,0.00011999999999989797,1.14248,1.14198,3.0
2026-06-26 18:55:00+00:00,332,True,1.1389,1.13904,1.13856,1.13858,1.13882,1.13896,1.13849,1.1385,1.13897,1.13911,1.13863,1.13866,2026-06-26 14:55:00-04:00,2026-06-26,14:55:00,0.0002442857142857286,0.000320000000000098,0.00048000000000003595,0.6666666666668208,0.00011999999999989797,1.14248,1.14198,3.0
2026-06-26 19:00:00+00:00,259,True,1.13856,1.1387,1.13848,1.13858,1.13849,1.13861,1.13839,1.13851,1.13864,1.13879,1.13855,1.13866,2026-06-26 15:00:00-04:00,2026-06-26,15:00:00,0.0002471428571428743,1.999999999990898e-05,0.000220000000000109,0.09090909090863214,0.00011999999999989797,1.14248,1.14198,3.0
2026-06-26 19:05:00+00:00,222,True,1.13859,1.13872,1.13856,1.13869,1.13851,1.13865,1.13848,1.13861,1.13867,1.1388,1.13863,1.13877,2026-06-26 15:05:00-04:00,2026-06-26,15:05:00,0.00023571428571430734,9.999999999998899e-05,0.00015999999999993797,0.6250000000001735,0.00011999999999989797,1.14248,1.14198,3.0
2026-06-26 19:10:00+00:00,201,True,1.13868,1.13871,1.1386,1.13862,1.13861,1.13864,1.13852,1.13855,1.13876,1.13878,1.13868,1.1387,2026-06-26 15:10:00-04:00,2026-06-26,15:10:00,0.00020357142857146165,5.999999999994898e-05,0.0001100000000000545,0.5454545454538114,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 19:15:00+00:00,212,True,1.13859,1.13859,1.13838,1.13839,1.13852,1.13852,1.1383,1.13831,1.13866,1.13866,1.13846,1.13847,2026-06-26 15:15:00-04:00,2026-06-26,15:15:00,0.00020642857142860738,0.00019999999999997797,0.00021000000000004349,0.9523809523806502,9.999999999998899e-05,1.14248,1.14198,3.0
2026-06-26 19:20:00+00:00,241,True,1.13838,1.1384,1.13812,1.13812,1.13831,1.13832,1.13803,1.13803,1.13846,1.13849,1.13821,1.13821,2026-06-26 15:20:00-04:00,2026-06-26,15:20:00,0.00021357142857146374,0.00025999999999992696,0.000280000000000058,0.9285714285709754,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 19:25:00+00:00,193,True,1.13814,1.13824,1.13812,1.13819,1.13805,1.13816,1.13804,1.13811,1.13822,1.13832,1.1382,1.13827,2026-06-26 15:25:00-04:00,2026-06-26,15:25:00,0.000205714285714317,5.0000000000105516e-05,0.00011999999999989797,0.41666666666790025,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 19:30:00+00:00,266,True,1.1382,1.1384,1.1381,1.1384,1.13811,1.13831,1.13802,1.13831,1.13828,1.13848,1.13817,1.13848,2026-06-26 15:30:00-04:00,2026-06-26,15:30:00,0.00021714285714289985,0.00019999999999997797,0.000300000000000189,0.6666666666661732,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 19:35:00+00:00,261,True,1.13838,1.13841,1.13824,1.13825,1.13829,1.13832,1.13817,1.13817,1.13846,1.1385,1.13832,1.13833,2026-06-26 15:35:00-04:00,2026-06-26,15:35:00,0.00021642857142860944,0.00012999999999996348,0.00017000000000000348,0.7647058823527106,0.00011999999999989797,1.14248,1.14198,3.0
2026-06-26 19:40:00+00:00,355,True,1.13826,1.1383,1.13816,1.13822,1.13818,1.13822,1.13808,1.13813,1.13835,1.13838,1.13824,1.1383,2026-06-26 15:40:00-04:00,2026-06-26,15:40:00,0.00021571428571431905,4.0000000000040004e-05,0.000140000000000029,0.2857142857145123,0.00011999999999989797,1.14248,1.14198,3.0
